Symbol,baseMean,log2FoldChange,padj
Picot,42.02894528528971,4.1691906448105645,1.0716361144231216e-19
Mdr49,55.369118493454536,2.8736498922035225,2.482252448035114e-19
hebe,57.9179426139053,2.334742083629188,3.5273277628857286e-19
CG8564,123.14346417248461,1.5275304123749114,4.196879589578232e-19
CG42327,92.38146981055033,1.8723728659808645,5.914251910326558e-19
Fas2,70.31495403497959,2.471426239241578,8.021980637065219e-19
CG3036,222.4980939080929,1.3388819382523482,5.1615813288625555e-18
CG13907,277.12375579018936,1.0423927243521314,6.285131137717588e-18
CG42300,81.18606702259441,2.0667694442819746,1.187298466247982e-17
ringer,46.40395020807308,2.8222683420719243,1.524921657761618e-17
PGRP-LB,88.84760181899468,3.3344232738447364,1.6051113082388615e-17
GILT2,47.522393171904724,4.4196074627295765,1.6335876112311328e-17
St3,46.88917222265131,2.8200243883133926,2.7101730261430503e-17
alphaTub85E,31.62247818835067,4.506915517651372,2.767002279089925e-17
Ance,39.561883240986866,4.262221767624699,5.1132658629018905e-17
Gyg,273.83023603758477,1.2895192222406928,1.2904857895993147e-16
SoYb,129.09417832134793,1.4901029376409625,1.3148008453204845e-16
Pgant2,75.49510349364559,2.0002976671871813,1.4267970504050735e-16
stet,54.94703939301971,2.4935222829271715,2.1409036071289538e-16
CG10663,46.690766438559315,4.123084821442884,5.579057916255158e-16
olf186-M,46.927059871555244,2.6570560062280264,5.79009890254115e-16
RapGAP1,278.81045094777346,1.1713394518314482,1.0408786793902572e-15
Gyc89Db,75.04507377165041,1.851069823050651,1.976520243112188e-15
bowl,46.56308887948217,2.2843074017540577,2.3718571300331716e-15
CG9416,122.66678629196954,1.6658965339990146,2.3742946011172946e-15
CG10764,216.5899441043963,1.3553565027492018,2.758008163421016e-15
Stacl,48.46402404904548,3.714211390490373,2.812544284783997e-15
CG32812,100.43828809071931,1.4790602509434279,3.0216941233132454e-15
CG14629,7093.12488897766,1.127731246035637,8.863937288007204e-15
nau,47.335403268678334,6.001396244587012,1.529540501714805e-14
CG13506,37.562456092421456,3.049471377014652,2.2121259105029384e-14
CG4259,119.09808115361494,2.0079649991942232,3.0783596137474946e-14
Ac78C,81.88343518565422,1.8818575034553864,3.754048665018001e-14
Cyp4p3,27.87645038164563,3.894118774223301,4.003683014747498e-14
Tsp42El,40.518880981955526,2.6586779445172,5.014110694139379e-14
hemo,142.204893938792,1.2682142222779675,5.1737002785504964e-14
CG43210,142.204893938792,1.2682142222779675,5.1737002785504964e-14
CG1648,28.92645206793166,3.668873015105742,7.809817288000355e-14
l(2)01289,75.08100222549074,1.648318758701697,9.787509660642072e-14
CG7142,157.2707199237853,1.2902440020393084,1.0482485834582306e-13
CG43658,66.98149798154894,1.7773113556682365,1.1625328177175117e-13
CG17549,38.53080620633708,2.488388861076107,1.3609754082019046e-13
CG33080,51.770884591385325,1.9891011012437358,1.4727266077554777e-13
MFS3,140.15480300752174,1.8133864490151999,2.049945710020562e-13
CG17739,30.01044645249493,3.628463169495574,2.1265067234670294e-13
CG11147,35.887906246268365,5.186978538195605,2.5891219146289413e-13
