Symbol,baseMean,log2FoldChange,padj
HGTX,1688.8982918486038,-4.428438492875687,0
bam,1144.8413220565863,-3.2954682980931427,1.8857872752119384e-265
Nepl19,2214.376624427822,-2.209459249662359,8.130032859001737e-221
Nepl20,2212.079039443682,-2.9493472106577756,3.189493905013048e-220
Nazo,571.969008984753,-3.1464702094953054,9.264822925073368e-200
CG6999,447.71857834732754,-4.622889133868802,1.3474142185601287e-191
Ugt317A1,2627.2639698274515,-1.8477035383278833,1.1441826265724701e-170
CG30089,2731.107925942082,-1.6805933653651153,4.911440588643981e-141
CG32706,340.8643344697109,-4.477253698414624,4.385106733055045e-139
Prx2540-1,625.1027373063581,-2.3984483202559845,2.701942487711835e-129
fat-spondin,2014.6058785284517,-2.2679010211922566,1.2906126494925916e-113
Pxn,4784.640480188866,-2.0575468073902163,5.078212597817891e-109
betaNACtes6,192.40241120706918,-3.924803207465655,4.424441041326046e-106
pon,205.45318249443264,-3.419793371788386,1.7469712760308034e-101
CG5144,484.6390373792005,-2.153215817544083,1.0967972711851375e-98
betaNACtes3,169.47227849786557,-4.050795082358482,3.6546555339666537e-94
trol,2181.3606055306395,-2.012928570192826,3.8212590947230003e-94
CG31689,639.7817891644946,-2.150162957949507,4.866907799883683e-91
mamo,234.54634907167028,-3.711329035954624,1.3757649228808366e-87
NtR,1184.5142673858238,-1.5253356367064301,6.025278179904403e-85
CG34232,931.4301947079894,-2.154411614943175,6.891377045656728e-84
Idgf6,7803.633689214092,-1.8494553088475982,1.3965562206506964e-81
Rab23,207.0143602325334,-3.369668721188242,3.5874459185060893e-78
CG4570,524.8651086842705,-1.953465134483788,2.1307157748555196e-75
Gel,12136.10051160085,-1.1452980445365033,4.39695477420788e-74
Ptp52F,137.7235186635764,-4.28392425010737,2.2524606545118542e-72
wake,505.0884850148533,-1.8420151553936142,3.637322370919696e-71
Glt,22131.832382363,-1.4197680693882324,8.036147285445767e-68
kst,17386.32883853085,-1.5978764353881012,6.404333802315602e-67
CG31075,1054.50523160844,-2.6414521556081163,5.964812828643295e-66
Prx2540-2,554.0281427241525,-2.2260921248800503,4.0187476295795104e-64
dmGlut,1037.1332180910276,-1.7737250120520827,1.3750857511107113e-62
eIF4E6,268.75311446207115,-2.3234087466503697,1.5125957879740513e-62
Ppa,646.360912957193,-1.8900504795569908,3.4197612667311945e-62
cbt,2668.685515437387,-1.4332572498403802,4.9025374399573054e-62
CG8468,1004.5877153013982,-1.5822368234843112,1.6651623398702878e-61
asp,1691.403715269156,-1.5253480750380803,8.152038698999714e-61
CG3376,169.5440664791858,-2.7231361822016455,7.7637931470390775e-60
Gr61a,141.2837170056694,-2.897508476560666,7.29295508159281e-59
CG5399,343.29558627468356,-2.368881066516991,8.0348968762279385e-56
CG8500,524.65596362536985,-1.736540728741096,2.5927179464428314e-54
Bacc,27972.926838813528,-1.1142283897193288,7.15172195580347e-52
RpS19b,1393.7938511186624,-1.6543962680366524,3.481281536951514e-51
CG13742,228.6074653863126,-2.2749313207913797,1.4262794500479958e-50
pst,1365.6528230574106,-1.349499309990385,1.5908478703579267e-50
Ser,100.40128051114651,-5.634739775167827,1.6790234185684688e-49
ckd,237.28508165170143,-2.3233203123352193,7.833691799595096e-49
CG30424,117.29240524273494,-2.7923908002093962,8.43376281209814e-49
Apoltp,721.911966176431,-2.2905172989098395,2.4278838184654083e-48
CG18823,307.2753349503767,-2.389121798262197,4.934102870216899e-48
CG30339,569.7757190132395,-1.3664342292951996,5.828590726601451e-48
Rpt3R,128.13498066876977,-2.5795157658853016,1.5665691971598013e-47
CG3961,4658.406647146161,-1.307668320142932,3.424272513020005e-45
CG8034,3027.3308914085374,-1.1255030932250025,3.7817347395814094e-45
CG32368,11395.225407888263,-1.6195137738943706,1.4520565598582778e-44
peb,164.1548259597443,-2.143901566482222,3.2181860552851156e-44
CG12643,1496.9716727381435,-1.1753474323655602,1.2951970568994286e-43
CG11899,1308.4942355349658,-1.3012695762085178,7.062256637308809e-43
SelG,1139.1618343652688,-1.4422155939811199,7.169295503445697e-43
Ugt305A1,134.49529884685566,-2.284920763069163,7.589386070283847e-43
CG17681,132.16057802258214,-2.4276134449760636,1.1985584564696292e-42
GlcAT-P,293.91184396041206,-1.5814293668162596,2.5340128204009024e-42
