Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,fex10_1,fex10_2,fex10_3,fex2_1,fex2_2,fex2_3,S2R_1,S2R_2,S2R_3
Pvf2,3215.9255154755,3.6036856277576312,0.09199169276934108,39.17403321181915,0,0,6859.348220941782,6241.383625980109,5791.706883246866,2741.586820092118,2715.812224340224,3038.0241895867407,542.7209184388576,500.6352573780337,512.1114992747707
CG10126,2545.1962012539807,4.21142784855834,0.10054982139741961,41.88399133910761,0,0,3903.7271350971528,4291.928576609338,4061.39981248163,3210.2341397659848,3373.903594344454,3401.7850997792452,255.26280485895418,222.3937497914373,186.1308985576279
CG10232,2044.8079932458427,6.857721936417,0.17440605428163966,39.320435088467775,0,0,3613.689551906792,3934.3547360028283,3878.503805642255,2045.450280659896,2359.2670440497477,2472.8103868729286,39.09430344686686,29.918441675978112,30.183388955291008
T48,1711.3572934766635,3.703421211355619,0.09440793460556626,39.227859679680634,0,0,3005.99175855556,3028.4315071775877,3379.6965142621425,1720.326202636151,1799.79455370033,1745.2885664879202,246.06414522439727,258.295879802611,218.3265134432716
Tsp42Ea,1609.0742712794133,3.0871173431876766,0.07795023398960982,39.60369565534808,0,0,2944.247062974419,2871.015618164226,2972.8914566254725,1527.0091832706812,1618.6771881804336,1512.3288234774977,363.34705556499785,333.0919839925563,339.06006926443564
rgn,3066.0784445637496,6.067149781691529,0.10815648454078376,56.096033515250966,0,0,7099.827561626226,7003.443327097774,7512.037808184499,1862.8730957036187,1813.070172115401,1981.1125686337168,108.08425070604366,118.67648531471318,95.58073169175485
Drs,7796.2675529349835,7.6103325917494296,0.13989627256254689,54.399823900575264,0,0,10622.524930571337,11528.88951389912,12175.3317522648,12264.890895298144,12441.150971837897,10958.65545194111,51.7424604443826,59.836883351956224,63.385116806111114
HGTX,1688.8982918486038,-4.428438492875687,0.09148951825148804,-48.40377977182823,0,0,227.48045740420454,200.15795159314865,216.14982626471556,208.9385966879321,231.37506380552188,214.81943515305363,4810.898988873262,4654.312243392995,4435.9520634626015
CG18557,1811.5458324189183,3.5230280654437154,0.08350075268981451,42.191572554213124,0,0,2979.9939919950793,3094.1083350440895,3138.0520931046653,2182.13908223144,2079.5307988750387,2029.8049739350759,255.26280485895418,260.2904425810096,284.7299691449118
CecA1,2588.924218996639,6.021010610477544,0.1605748017551293,37.49660933512697,1.0460444817587898e-307,1.0102697604826391e-304,2340.6114206482616,2204.864935518278,2184.775936244894,5305.478198141229,5565.328891289377,5594.852844430641,40.24413590118647,25.929316119181028,38.232292676701945
Pvf3,1613.6152912565947,4.955747463042669,0.13261210617320118,37.370249263442794,1.1892315124408443e-305,1.0441452679230613e-302,2410.4804182795533,2609.350796029433,2767.8262368358705,2101.1021498711675,2078.5825404168195,2302.864344840735,101.18525598012599,87.76076224953579,63.385116806111114
bam,1144.8413220565863,-3.2954682980931427,0.09415935643065297,-34.998840508433254,2.3430779977783455e-268,1.8857872752119384e-265,307.91104770069114,303.36439538336595,270.4643979927723,249.9452371593954,256.029783719225,239.6430143262954,2776.8453771818663,3121.490748193716,2777.877896851949
Nrg,655.416591948589,3.8491716191024734,0.11218866444361539,34.3098087332791,5.603525745826942e-258,4.1629885887074314e-255,1445.3133347217138,1422.9979371075412,1413.2873255769864,429.59337636771085,431.4575984898051,459.23621470497244,96.58592616284753,106.70910864432193,93.56850576140212
CG32521,4186.299158485243,2.875330112688182,0.08502575344371537,33.8171671079818,1.1032332509467947e-250,7.61073338403153e-248,6370.265237522742,6412.351876299257,7379.022530483136,4967.661588542984,4809.566900088553,4990.494166866717,918.7161310013711,851.6783063761769,976.9356891862523
Tsp42Ed,732.3077238887759,3.1209020848839306,0.09441446109003994,33.05533971017035,1.3037020664258595e-239,8.394103038360634e-237,1507.8704605078701,1509.5245515983295,1466.4934366575317,541.873463372908,527.2317027699596,523.2046687283262,160.97654360474587,176.51880588827086,177.07588187104056
Dtg,1340.8414504833552,4.2906705682135655,0.129938841002733,33.020692928324024,4.099707732634266e-239,2.474686080111359e-236,1165.0249139915331,1183.2253909282485,1150.5821521167936,2827.5054953656604,2744.2599780868045,2819.3857422531883,49.44279553574338,71.80426002234746,56.34232604987655
