Symbol,baseMean,log2FoldChange,padj
Cyp4d1,2.5711487293052153,-3.82735392533518,0.02003315051310913
stv,19.20879937591493,-1.0319876264476935,0.020034705578240865
CG11453,3.971832938940486,-2.526618377142138,0.020566057852128457
CG14490,5.202159284308647,-2.020672200783832,0.022914783930042593
CG11836,17.132756106318325,-1.0821508309091574,0.02297304385266289
nahoda,12.888564498004708,-1.2583287881165066,0.023661829915771426
CG5071,1.5729291649920998,-4.347064148672611,0.02529133687215527
CG2269,16.176339624572847,-1.0772609090779197,0.025583935973554406
CG5592,4.576704180699603,-2.270822670441624,0.026037685964145386
CG13000,10.048487501201894,-1.5069570139085002,0.027133618198846955
CG17928,10.814270086433162,-1.3107730784816445,0.027252087525239194
metro,3.312554175946112,-3.140244090190462,0.030329965481026403
CycJ,10.54754888721246,-1.25743634373667,0.030535961818901572
CG33337,6.297380053626043,-1.838161709772343,0.031677854304472695
sand,17.583405113794708,-1.167066520101422,0.032350534704151127
CG10472,12.79051654754709,-1.314355794035678,0.03288823622584879
Npc2h,11.671906207368828,-1.2652921607450838,0.034688179779738974
CG16762,3.019939034011246,-2.786618832908614,0.03625409369982725
CG42581,1.4279455050391774,-4.39012119845615,0.037424230558825454
CG11384,6.062266385680459,-1.8467173459745885,0.039088558237871066
CG3253,3.151748530836465,-3.257604140572544,0.03951003369414417
CG7227,4.121362112209107,-2.2450038455186934,0.03968797018853964
CG15543,4.918957545039326,-1.8317074037288472,0.0410406424025559
l(2)03659,11.973931089085335,-1.2178737885671564,0.04134052499045662
CG32544,1.4000501440225364,-4.027459303136658,0.0433922963126371
CG13321,11.247950343682696,-1.1844100827188129,0.043462994958391586
CG11672,1.379785018784016,-3.7876448122243644,0.0438507805625429
verm,3.4626149707880045,-2.94636437434163,0.04430486457036191
stops,11.2653864978534,-1.1955227630661693,0.04621567870852914
CG42857,12.676612914397282,-1.0528394537499297,0.04658536863456601
CG17650,8.42080690562985,-1.4159412996089629,0.04952573283237786
