Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,fex10_1,fex10_2,fex10_3,fex2_1,fex2_2,fex2_3,S2R_1,S2R_2,S2R_3
CG10232,2044.8079932458427,6.1256484620029426,0.17472286498142983,35.05922629333029,2.8209502195006728e-269,2.4767942927215906e-266,3613.689551906792,3934.3547360028283,3878.503805642255,2045.450280659896,2359.2670440497477,2472.8103868729286,39.09430344686686,29.918441675978112,30.183388955291008
edin,1262.8006327710398,6.75301921650535,0.1950548108302855,34.621136427037726,1.2149006810148212e-262,9.777925647700952e-260,1171.5243556316534,997.6622899721003,1002.0484253502711,2735.7287285961947,2834.344531617643,2549.190630482903,19.54715172343343,19.945627783985408,35.21395378117284
Nazo,571.969008984753,-3.567348906389306,0.10981655239125594,-32.484619383055346,1.7584008055342157e-231,1.3063565369114965e-228,165.7357618230633,158.458378344576,160.72679388914747,117.1618299184666,129.91140877605122,115.52511846008663,1464.8865468031875,1353.3108451434098,1482.0043977047885
pirk,1593.4455197828697,2.4240092609650494,0.0804680809453041,30.123860697171356,2.360170723302058e-199,1.6281806318322343e-196,1512.7450417379603,1538.7142528723302,1630.5456124892132,2557.0569379705335,2849.5166669491523,2734.412721237092,525.4734316240633,509.61078988082716,482.9342232846561
T48,1711.3572934766635,2.865690480852902,0.09525768632999697,30.08356166583154,7.9503829104964375e-199,5.118986543304973e-196,3005.99175855556,3028.4315071775877,3379.6965142621425,1720.326202636151,1799.79455370033,1745.2885664879202,246.06414522439727,258.295879802611,218.3265134432716
CG6999,447.71857834732754,-4.35823995836182,0.14744377356376462,-29.558657195361484,5.083098185373764e-192,3.068285142146238e-189,51.995533120961035,54.20944522314443,43.22996525294311,51.74647488065608,62.585058242477224,65.87796011360312,1288.9621812922867,1111.9687489571863,1298.8918380426896
CG32521,4186.299158485243,2.426437979366666,0.08522153557337758,28.472122252214646,2.594327178538004e-178,1.473883052371767e-175,6370.265237522742,6412.351876299257,7379.022530483136,4967.661588542984,4809.566900088553,4990.494166866717,918.7161310013711,851.6783063761769,976.9356891862523
cv-2,1371.9686304564136,2.5058736190025175,0.09023625301003566,27.770142657894116,9.954342242880946e-170,5.341057632319121e-167,2226.0587617411443,1975.5172826511287,2231.3312834403714,1690.0593965738806,1623.4184804715305,1716.6459751341797,281.7089513083053,305.16810509497674,297.8094376922046
Tsp42Ea,1609.0742712794133,2.171319715458882,0.07919321073835014,27.418003326482097,1.6732537642470834e-165,8.5054130816307e-163,2944.247062974419,2871.015618164226,2972.8914566254725,1527.0091832706812,1618.6771881804336,1512.3288234774977,363.34705556499785,333.0919839925563,339.06006926443564
mthl2,934.5796773814395,4.397777389690316,0.16529117049744935,26.606245067144584,5.747650789222888e-156,2.775540566115732e-153,1554.991412398741,1727.4048218221214,1677.1009596846905,973.4195369059266,1091.445485410474,1229.7219221205914,62.09095253325913,60.83416474115549,34.20784081599648
Esyt2,680.4164403480652,4.666249214258974,0.17576214260200396,26.54865914342678,2.66140420312382e-155,1.2239924663699932e-152,1204.8339940372691,1204.0751775525348,1063.013760963396,787.9133062016879,846.7948031898812,916.5629233196955,34.4949736295884,38.89397417877154,27.165050059761906
Pvf2,3215.9255154755,2.4502653718909033,0.09267617019396945,26.439001166778308,4.882492711757854e-154,2.1434143004616978e-151,6859.348220941782,6241.383625980109,5791.706883246866,2741.586820092118,2715.812224340224,3038.0241895867407,542.7209184388576,500.6352573780337,512.1114992747707
CG10359,1046.541719195341,6.110443397032357,0.2317636453396971,26.364977941541483,3.456397739135392e-153,1.4513864941117226e-150,1942.5206201909039,2105.828449052918,2143.762892286974,1009.5444344641204,1080.0663839118417,1091.2827305775124,13.797989451835361,13.961939448789785,18.110033373174605
ome,582.6787032897565,3.0419517362530124,0.11686259133623138,26.030158166704148,2.2571301436089998e-149,9.083067886239884e-147,650.756594217028,681.7880226141626,723.8248028249193,918.7440162773089,923.6037383056488,1000.5811912906677,111.5337480690025,129.64658059590514,103.62963541316579
CG32706,340.8643344697109,-4.118020865604121,0.16573769745559028,-24.84661563919429,2.8131140546573486e-136,1.0867622215952269e-133,43.87123107081088,41.699573248572634,38.796122662897666,50.77012629800219,60.688541326038525,48.692405301358825,1008.4030624383009,786.8550160782243,988.0029318031923
slgA,1319.407937642569,1.9669361378477852,0.07972577629219338,24.67126981164791,2.1761525225461376e-134,8.08356963951946e-132,1539.5552385034557,1547.0541675220447,1467.6018973050432,1966.366045464931,1915.4820856030908,1948.6509650994776,472.58113872536114,545.5129198920009,471.86698066771606
CG46313,2306.800293367114,2.2714706709820174,0.09235448558853053,24.595130994526492,1.424180936827123e-133,5.094347958472724e-131,2239.057645021385,2531.164096188359,2292.296619053496,3657.4017906214654,3835.7054634972783,3856.247549258594,739.3422681275115,885.585873608952,724.4013349269842
CG42390,1116.5149261921847,1.960291925269366,0.08207160010703654,23.885143249464893,4.370574495666705e-126,1.5075360171124656e-123,1412.8161265211131,1527.2468702289727,1541.8687606883043,1479.1681027206407,1484.9727455715051,1463.6364181761387,395.54236428594703,356.0294559441395,387.35349159290126
Sulf1,3526.3935407932563,1.9172327974137549,0.08041544231457207,23.841599849862835,1.2376569526344217e-125,4.121824430532153e-123,5231.23809009169,5553.34066737866,5762.886906411571,3882.9383132145135,4096.4765395076,4031.9221095615358,1011.8525598012599,1167.8165067523455,999.0701744201323
KrT95D,7862.317096156632,1.1280495657236362,0.04817381266511127,23.41624013788303,2.920072624217795e-121,9.400687134898488e-119,10780.13639034425,10451.998034754732,10640.113755461563,9025.366298052542,8801.735009192025,8854.379740486309,4045.1105742964,4041.981470424643,4120.032592397222
CG8547,550.834587767364,2.637140958460245,0.1129116386947538,23.355793866294974,1.203454633923297e-120,3.74934350142942e-118,688.9408138527338,714.1051918818064,778.139374552976,804.511232106804,765.244575783017,822.9971248974766,116.13307788628096,134.63298754190149,132.80691140328042
CG6006,423.29254090103535,2.8283083358702066,0.1213917386542746,23.29901826289241,4.5360148170878355e-120,1.3690259719823223e-117,417.58912537771835,397.18843519265437,380.2020020963971,762.5282430526868,782.3132280309653,746.616881287502,114.98324543196134,119.67376670391245,88.53794093552028
Nepl20,2212.079039443682,-2.0731101326276145,0.08973609463122238,-23.102299483248355,4.390011286750731e-118,1.2848099699223807e-115,653.1938848320731,603.6013227730889,627.3887264914308,1146.2332360356647,1177.7370051084351,1137.1108767434973,4754.557198611602,5420.224350298035,4388.664754099313
CG4793,427.7644002487833,3.3230461572557997,0.14424070385830312,23.038199817162848,1.9315255240755763e-117,5.486668679859387e-115,537.8287957199408,548.3493882187302,484.3973029624651,670.7514762832212,669.4704715028624,732.2955856106317,66.69028235053757,85.76619947113726,54.33010011952381
Lac,1479.3984883336861,1.733570431984289,0.07530444893198142,23.020823557850253,2.8841452642192534e-117,7.958592846237013e-115,1836.9046935389517,1856.6734988926967,1901.0100104819855,1940.9809823159299,1892.7238826058265,2101.411452319427,596.7630437918793,579.4204871247761,608.698343931702
Sp212,591.0969533595635,3.1251650982390116,0.13605641891535994,22.96962630027152,9.381494975039254e-117,2.51684662413692e-114,931.8574451522236,937.19790876167,989.8553582276462,740.0722256516473,727.314237454243,740.8883630167539,78.18860689373372,63.8260089087533,110.67242616940035
CG14253,2864.335103168484,2.329479097462799,0.10215578548166937,22.80320283848041,4.261620661081779e-115,1.1123981714791302e-112,2782.5734521764307,3152.487737592091,2870.913077054427,4460.936674145615,4750.774875678953,4945.620773745857,894.5696494606592,1083.0475886704075,838.0920999919136
CG15097,1166.6350912294174,2.139863421036966,0.09460854760450242,22.618077068283096,2.87750698401835e-113,7.313411171486638e-111,1730.4763366819845,1723.2348644972642,1582.8818046462247,1606.0934184656462,1442.3011149516342,1405.3964824235331,315.0540924835741,334.0892653817556,360.1884415331393
