Symbol,baseMean,log2FoldChange,padj
Dtg,1340.8414504833552,5.552582217567814,0
CG10126,2545.1962012539807,3.9160395986060594,0
CecA1,2588.924218996639,7.3110678735279535,0
rgn,3066.0784445637496,4.133333950121795,0
Drs,7796.2675529349835,7.66566075857085,0
AttD,1131.2794135581426,4.954925507058363,5.012537243249382e-280
CG18557,1811.5458324189183,2.973227904938913,5.703869280735937e-271
Pvf3,1613.6152912565947,4.691717398079958,1.658928493833249e-270
CG10232,2044.8079932458427,6.1256484620029426,2.4767942927215906e-266
edin,1262.8006327710398,6.75301921650535,9.777925647700952e-260
pirk,1593.4455197828697,2.4240092609650494,1.6281806318322343e-196
T48,1711.3572934766635,2.865690480852902,5.118986543304973e-196
CG32521,4186.299158485243,2.426437979366666,1.473883052371767e-175
cv-2,1371.9686304564136,2.5058736190025175,5.341057632319121e-167
Tsp42Ea,1609.0742712794133,2.171319715458882,8.5054130816307e-163
mthl2,934.5796773814395,4.397777389690316,2.775540566115732e-153
Esyt2,680.4164403480652,4.666249214258974,1.2239924663699932e-152
Pvf2,3215.9255154755,2.4502653718909033,2.1434143004616978e-151
CG10359,1046.541719195341,6.110443397032357,1.4513864941117226e-150
ome,582.6787032897565,3.0419517362530124,9.083067886239884e-147
slgA,1319.407937642569,1.9669361378477852,8.08356963951946e-132
CG46313,2306.800293367114,2.2714706709820174,5.094347958472724e-131
CG42390,1116.5149261921847,1.960291925269366,1.5075360171124656e-123
Sulf1,3526.3935407932563,1.9172327974137549,4.121824430532153e-123
KrT95D,7862.317096156632,1.1280495657236362,9.400687134898488e-119
CG8547,550.834587767364,2.637140958460245,3.74934350142942e-118
CG6006,423.29254090103535,2.8283083358702066,1.3690259719823223e-117
CG4793,427.7644002487833,3.3230461572557997,5.486668679859387e-115
Lac,1479.3984883336861,1.733570431984289,7.958592846237013e-115
Sp212,591.0969533595635,3.1251650982390116,2.51684662413692e-114
CG14253,2864.335103168484,2.329479097462799,1.1123981714791302e-112
CG15097,1166.6350912294174,2.139863421036966,7.313411171486638e-111
CG14567,803.7656907548362,6.50408952114491,3.4246464053190913e-110
CG4927,465.6475062795238,4.378474656478676,5.378095098020983e-110
rdog,1923.755350950559,2.006733500588984,1.8030811512550887e-106
CG6231,444.6633415024133,2.783344545581911,7.800467323435586e-106
CG11638,909.8874805961681,1.9916171437778407,6.328002772923143e-105
CG13893,716.2965245932639,2.1925038055643125,1.69459239275741e-101
AttB,835.0250357417048,8.18654017995586,4.1235123059781146e-100
CG7888,577.725144092753,2.8311841049926074,1.1127617241499703e-94
CecA2,679.0783306153946,8.210175511625042,2.1481767618559905e-94
DptB,419.25426150293777,7.050168304676446,3.7003369131046824e-92
CAH7,1789.382820285268,1.8522983514986802,1.309519113889624e-89
CG43175,858.47716041327,2.182069904862951,1.229166787954124e-88
CG44325,529.8783655818784,2.241586035156141,6.9687020830776845e-83
stnA,898.4336809879744,1.8945022224703514,3.1742347623064717e-82
stnB,898.4336809879744,1.8945022224703514,3.1742347623064717e-82
CG10132,317.95730863825503,3.7611169521439396,3.942480610905313e-78
Idgf5,572.3236665329941,1.9092153246965304,8.774783280705566e-77
pain,534.3254794377327,5.7398687491380755,9.88990552781253e-76
